"Branch","CODE","TITLE","PaperID","Scheme","Semester","Day and Date of Exam","Session (M/E)","Start time, Time window 3 hours, Duration 2 hours"
"All (1st year)","BTEE-101","Basic Electrical and Electronics Engineering","A1104",,"1/2","Friday, October 23, 2020","M","10:00 AM"
"All (1st year)","BTEE-17101","Basic Electrical Engineering",15859,,"1/2","Friday, October 23, 2020","M","10:00 AM"
"All (1st year)","BTEC-17101","Basic Electronics Engineering",15860,,"1/2","Monday, October 26, 2020","M","10:00 AM"
"All (1st year)","BTAS-17103","Business Communication and Presentation Skills",15858,,"1/2","Thursday, October 22, 2020","M","10:00 AM"
"All (1st year)","BTHU-101","Communicative English","A1103",,"1/2","Thursday, October 22, 2020","M","10:00 AM"
"All (1st year)","BTME-17102","Elements of Mechanical Engineering",15870,,"1/2","Monday, October 19, 2020","M","10:00 AM"
"All (1st year)","BTME-101","Elements of Mechanical Engineering","A1107",,"1/2","Monday, October 19, 2020","M","10:00 AM"
"All (1st year)","BTAS-17105","Engineering Chemistry",15868,,"1/2","Thursday, October 15, 2020","M","10:00 AM"
"All (1st year)","BTCH-101","Engineering Chemistry","A1106",,"1/2","Thursday, October 15, 2020","M","10:00 AM"
"All (1st year)","BTCH-101","Engineering Chemistry","ABTCH101",,"1/2","Thursday, October 15, 2020","M","10:00 AM"
"All (1st year)","BTME-17101","Engineering Drawing",15869,,"1/2","Friday, October 16, 2020","M","10:00 AM"
"All (1st year)","BTME-102","Engineering Drawing","A1110",,"1/2","Friday, October 16, 2020","M","10:00 AM"
"All (1st year)","BTAS-17101","Engineering Mathematics - I",15856,,"1/2","Wednesday, October 14, 2020","M","10:00 AM"
"All (1st year)","BTAS-17104","Engineering Mathematics - II",15867,,"1/2","Wednesday, October 28, 2020","M","10:00 AM"
"All (1st year)","BTAM-101","Engineering Mathematics-I","A1101",,"1/2","Wednesday, October 14, 2020","M","10:00 AM"
"All (1st year)","BTAM-102","Engineering Mathematics-II","A1111",,"1/2","Wednesday, October 28, 2020","M","10:00 AM"
"All (1st year)","BTAS-17102","Engineering Physics",15857,,"1/2","Wednesday, October 21, 2020","M","10:00 AM"
"All (1st year)","BTPH-101","Engineering Physics","A1102",,"1/2","Wednesday, October 21, 2020","M","10:00 AM"
"All (1st year)","BTPH-101","Engineering Physics","ABTPH101",,"1/2","Wednesday, October 21, 2020","M","10:00 AM"
"All (1st year)","EVSC-101","Environmental Science","A1109",,"1/2","Monday, October 26, 2020","M","10:00 AM"
"All (1st year)","BTCS-17101","Fundamentals of Computer and Information Technology",15871,,"1/2","Tuesday, October 20, 2020","M","10:00 AM"
"All (1st year)","BTCS-101","Fundamentals of Computer Programming and IT","A1108",,"1/2","Tuesday, October 20, 2020","M","10:00 AM"
"All (1st year)","BTCS-101","Fundamentals of Computer Programming and IT","ABTCS101",,"1/2","Tuesday, October 20, 2020","M","10:00 AM"
"All (1st year)","HVPE-101","Human Values and Professional Ethics","A1105",,"1/2","Tuesday, October 27, 2020","M","10:00 AM"
"All (1st year)","BTHS-17101","Value Education, Professional Ethics,Human Rights and Legislative Procedures",15866,,"1/2","Tuesday, October 27, 2020","M","10:00 AM"
"CE","CE-14306","Building Material & Construction",15305,,3,"Thursday, October 29, 2020","E","2:00 PM"
"CE","CE-14402","Construction Machinery & Works Management",15372,,4,"Tuesday, November 3, 2020","E","2:00 PM"
"CE","BTCE-402","Construction Machinery & Works Management","A1172",,4,"Tuesday, November 3, 2020","E","2:00 PM"
"CE","CE-14403","Design of Concrete Structures-I",15373,,4,"Wednesday, November 4, 2020","E","2:00 PM"
"CE","BTCE-403","Design of Concrete Structures-I","A1173",,4,"Wednesday, November 4, 2020","E","2:00 PM"
"CE","CE-14601","Design of Concrete Structures-II",15556,,6,"Tuesday, November 3, 2020","M","10:00 AM"
"CE","BTCE-601","Design of Concrete Structures-II","A2288",,6,"Tuesday, November 3, 2020","M","10:00 AM"
"CE","BTCE-801","Design of Steel Structure-II","A2956",,7,"Wednesday, October 21, 2020","E","2:00 PM"
"CE","BTCE-801","Design of Steel Structure-II","A2956",,8,"Wednesday, October 21, 2020","E","2:00 PM"
"CE","CE-14501","Design of Steel Structures-I",15421,,5,"Wednesday, November 11, 2020","M","10:00 AM"
"CE","BTCE-501","Design of Steel Structures-I","A2078",,5,"Wednesday, November 11, 2020","M","10:00 AM"
"CE","DECE-14817","Earth and Earth Retaining Structures",15702,,7,"Tuesday, October 20, 2020","E","2:00 PM"
"CE","DECE-14817","Earth and Earth Retaining Structures",15702,,8,"Tuesday, October 20, 2020","E","2:00 PM"
"CE","BTCE-812","Earth and Earth Retaining Structures","A2966",,8,"Tuesday, October 20, 2020","E","2:00 PM"
"CE","BTCE-602","Elements of Earthquake Engineering","A2289",,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CE","CE-14301","Engineering Mathematics-III",15300,,3,"Thursday, October 22, 2020","E","2:00 PM"
"CE","BTAM-301","Engineering Mathematics-III","A1128",,3,"Thursday, October 22, 2020","E","2:00 PM"
"CE","CE-14301","Engineering Mathematics-III (Batch 2017 Onwards)","BCE14301",,3,"Thursday, October 22, 2020","E","2:00 PM"
"CE","BTCE-606","Environment Engineering -II","A2293",,6,"Monday, November 9, 2020","M","10:00 AM"
"CE","CE-14505","Environmental Engineering-I",15425,,5,"Friday, November 6, 2020","M","10:00 AM"
"CE","BTCE-505","Environmental Engineering-I","A2082",,5,"Friday, November 6, 2020","M","10:00 AM"
"CE","CE-14604","Environmental Engineering-II",15559,,6,"Monday, November 9, 2020","M","10:00 AM"
"CE","CE-14302","Fluid Mechanics-I",15301,,3,"Friday, October 23, 2020","E","2:00 PM"
"CE","BTCE-301","Fluid Mechanics-I","A1113",,3,"Friday, October 23, 2020","E","2:00 PM"
"CE","CE-14404","Fluid Mechanics-II",15374,,4,"Thursday, November 5, 2020","E","2:00 PM"
"CE","BTCE-404","Fluid Mechanics-II","A1174",,4,"Thursday, November 5, 2020","E","2:00 PM"
"CE","CE-14602","Foundation Engineering",15557,,6,"Monday, November 2, 2020","M","10:00 AM"
"CE","BTCE-603","Foundation Engineering","A2290",,6,"Monday, November 2, 2020","M","10:00 AM"
"CE","CE-14401","Geomatics Engineering",15371,,4,"Monday, November 2, 2020","E","2:00 PM"
"CE","CE-14502","Geotechnical Engineering",15422,,5,"Monday, October 26, 2020","M","10:00 AM"
"CE","BTCE-502","Geotechnical Engineering","A2079",,5,"Monday, October 26, 2020","M","10:00 AM"
"CE","DECE-14815","Ground Improvement Techniques",15700,,7,"Tuesday, October 20, 2020","E","2:00 PM"
"CE","BTCE-817","Hydrology and Dams","A2971",,8,"Tuesday, October 20, 2020","E","2:00 PM"
"CE","CE-14405","Irrigation Engineering-I",15375,,4,"Monday, November 9, 2020","E","2:00 PM"
"CE","BTCE-405","Irrigation Engineering-I","A1175",,4,"Monday, November 9, 2020","E","2:00 PM"
"CE","BTCE-803","Irrigation Engineering-II","A2958",,7,"Thursday, October 15, 2020","E","2:00 PM"
"CE","BTCE-803","Irrigation Engineering-II","A2958",,8,"Thursday, October 15, 2020","E","2:00 PM"
"CE","OEIT-14602","Management Information System",15544,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CE","DECE-14812","Matrix methods of Structural Analysis",15699,,7,"Monday, October 19, 2020","E","2:00 PM"
"CE","DECE-14812","Matrix methods of Structural Analysis",15699,,8,"Monday, October 19, 2020","E","2:00 PM"
"CE","OEEC-14601","Microprocessors and Microcontrollers",15541,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CE","OEEC-14602","Neural Networks and Fuzzy Logic",15542,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"CE","DECE-14605","Numerical Methods in Civil Engineering",15560,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"CE","BTCE-604","Numerical Methods In Civil Engineering","A2291",,6,"Tuesday, November 10, 2020","M","10:00 AM"
"CE","DECE-14808","Pre-stressed Concrete",15695,,7,"Monday, October 19, 2020","E","2:00 PM"
